"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
1990,9,6,4,1354,1355,1908,1905,"AA",78,"",194,190,,3,-1,"LAX","DFW",1235,,,0,"",0,,,,,
2007,4,16,1,1044,1045,1443,1450,"AA",1980,"N491AA",119,125,103,-7,-1,"TUS","DFW",813,5,11,0,"",0,0,0,0,0,0
1991,3,20,3,821,825,847,847,"TW",262,"",26,22,,0,-4,"PUB","COS",37,,,0,"",0,,,,,
2000,5,16,2,1928,1932,2059,2058,"CO",1960,"N14342",91,86,79,1,-4,"OKC","IAH",395,4,8,0,"",0,,,,,
2003,12,2,2,2100,2047,2218,2211,"AA",512,"N433AA",78,84,59,7,13,"ORD","BNA",409,6,13,0,"",0,0,0,0,0,0
1996,12,30,1,1939,1940,1941,1936,"DL",1002,"N924DL",62,56,29,5,-1,"ATL","HSV",151,4,29,0,"",0,,,,,
1992,10,26,1,1719,1715,1913,1855,"DL",1482,"",114,100,,18,4,"ATL","IAD",533,,,0,"",0,,,,,
1998,12,5,6,1940,1940,2207,2209,"DL",404,"N120DL",147,149,124,-2,0,"ATL","BOS",946,6,17,0,"",0,,,,,
2000,12,7,4,1229,1227,1257,1255,"AQ",30,"N726AL",28,28,22,2,2,"OGG","KOA",84,2,4,0,"",0,,,,,
1993,7,5,1,959,1000,1059,1116,"US",1445,"",60,76,,-17,-1,"BOS","EWR",200,,,0,"",0,,,,,
2003,3,18,2,1402,1405,1514,1538,"DH",7807,"N308UE",72,93,56,-24,-3,"JFK","IAD",228,3,13,0,"",0,,,,,
1994,3,1,2,1711,1711,1814,1815,"DL",983,"",63,64,,-1,0,"DFW","IAH",224,,,0,"",0,,,,,
1987,11,15,7,1327,1154,1435,1300,"DL",1099,"",68,66,,95,93,"DFW","AMA",313,,,0,"",0,,,,,
1989,12,22,5,,1515,,1624,"CO",124,"",,69,,,,"IAH","HRL",295,,,1,"",0,,,,,
1992,10,12,1,1007,1006,1115,1111,"CO",457,"",128,125,,4,1,"MSP","DEN",680,,,0,"",0,,,,,
1996,9,14,6,1350,1350,1608,1620,"WN",181,"N664",78,90,70,-12,0,"ELP","DAL",562,3,5,0,"",0,,,,,
1988,8,4,4,746,745,839,843,"PI",71,"",53,58,,-4,1,"DCA","GSO",248,,,0,"",0,,,,,
1999,2,2,2,1328,1330,1542,1545,"UA",121,"N812UA",254,255,227,-3,-2,"ORD","LAX",1745,8,19,0,"",0,,,,,
1996,11,22,5,745,745,831,831,"TW",637,"N903TW",46,46,32,0,0,"PBI","SRQ",159,4,10,0,"",0,,,,,
2005,8,6,6,619,630,727,740,"UA",1119,"N840UA",68,70,55,-13,-11,"ABQ","DEN",349,5,8,0,"",0,0,0,0,0,0
2008,12,5,5,1221,1210,1344,1348,"FL",777,"N272AT",263,278,243,-4,11,"ATL","LAS",1747,6,14,0,"",0,,,,,
2002,9,23,1,1235,1235,1327,1330,"WN",1768,"N384",52,55,42,-3,0,"ONT","LAS",197,4,6,0,"",0,,,,,
1996,8,19,1,2353,2355,100,55,"HP",2367,"N327AW",67,60,41,5,-2,"PHX","LAS",256,14,12,0,"",0,,,,,
2004,12,8,3,1723,1730,1922,1912,"OO",6704,"N910SW",119,102,100,10,-7,"ELP","DEN",563,7,12,0,"",0,0,0,0,0,0
2002,9,10,2,619,625,738,740,"NW",890,"N908H",79,75,50,-2,-6,"ROC","DTW",296,16,13,0,"",0,,,,,
1992,2,29,6,536,537,659,654,"TW",324,"",83,77,,5,-1,"OKC","STL",462,,,0,"",0,,,,,
2000,5,13,6,906,900,1101,1041,"UA",1166,"N992UA",115,101,86,20,6,"ORD","BHM",584,4,25,0,"",0,,,,,
1988,8,18,4,801,801,925,920,"EA",309,"",84,79,,5,0,"IND","MCI",451,,,0,"",0,,,,,
1990,2,20,2,1657,1657,1836,1838,"EA",685,"",99,101,,-2,0,"CAK","ATL",528,,,0,"",0,,,,,
1991,2,28,4,1101,1050,1157,1145,"DL",1852,"",56,55,,12,11,"LAX","FAT",209,,,0,"",0,,,,,
2008,3,16,7,1131,1115,1333,1233,"NW",115,"N532US",242,198,208,60,16,"MSP","PHX",1276,6,28,0,"",0,13,0,44,0,3
2000,1,27,4,1602,1559,1747,1745,"HP",2490,"N316AW",105,106,83,2,3,"PHX","DEN",602,4,18,0,"",0,,,,,
2002,6,25,2,1432,1425,1625,1638,"AA",2657,"N5TYAA",233,253,208,-13,7,"STL","SEA",1710,3,22,0,"",0,,,,,
1991,5,7,2,825,825,956,948,"CO",1139,"",91,83,,8,0,"TUL","IAH",429,,,0,"",0,,,,,
1991,7,12,5,1438,1426,1548,1532,"HP",641,"",70,66,,16,12,"RNO","LAS",345,,,0,"",0,,,,,
1996,1,2,2,2214,2145,2307,2240,"WN",1153,"N356",53,55,46,27,29,"BUR","SJC",296,3,4,0,"",0,,,,,
1988,1,14,4,952,935,1142,1116,"US",555,"",110,101,,26,17,"PIT","ATL",526,,,0,"",0,,,,,
1995,5,18,4,1851,1840,2010,1950,"CO",1440,"N69523",79,70,60,20,11,"BWI","CLE",314,4,15,0,"",0,,,,,
2006,5,17,3,2116,2124,2222,2246,"OO",3880,"N440SW",66,82,54,-24,-8,"SLC","HLN",402,3,9,0,"",0,0,0,0,0,0
2004,3,17,3,657,705,805,815,"DH",7785,"N306UE",68,70,54,-10,-8,"IAD","RDU",224,4,9,0,"",0,0,0,0,0,0
1990,2,5,1,844,845,933,935,"US",320,"",49,50,,-2,-1,"BDL","SYR",192,,,0,"",0,,,,,
1993,3,4,4,1746,1746,1951,1954,"HP",1262,"",65,68,,-3,0,"ONT","PHX",325,,,0,"",0,,,,,
1998,4,25,6,1841,1837,2026,2029,"HP",2522,"N308AW",105,112,92,-3,4,"PHX","RNO",601,4,9,0,"",0,,,,,
2007,4,10,2,1745,1740,1830,1827,"HA",261,"N486HA",45,47,36,3,5,"ITO","HNL",216,4,5,0,"",0,0,0,0,0,0
2004,8,11,3,555,600,703,715,"US",1295,"N724UW",68,75,53,-12,-5,"IAD","CLT",321,4,11,0,"",0,0,0,0,0,0
2000,9,8,5,956,957,1114,1122,"UA",2157,"N925UA",78,85,64,-8,-1,"SFO","SAN",447,3,11,0,"",0,,,,,
1999,11,5,5,1107,1107,1317,1336,"HP",2767,"N313AW",190,209,179,-19,0,"MSP","PHX",1276,3,8,0,"",0,,,,,
2005,2,12,6,843,845,903,907,"OH",4940,"N477CA",80,82,64,-4,-2,"CVG","MSN",373,3,13,0,"",0,0,0,0,0,0
2001,6,11,1,2005,2005,2250,2255,"WN",1265,"N369@@",105,110,95,-5,0,"ABQ","MCI",718,5,5,0,"",0,,,,,
1989,5,7,7,1748,1750,1904,1903,"UA",1185,"",76,73,,1,-2,"SMF","ONT",389,,,0,"",0,,,,,
1994,5,25,3,1018,1015,1200,1151,"DL",1068,"",42,36,,9,3,"IND","CVG",98,,,0,"",0,,,,,
1988,2,25,4,942,940,1216,1230,"TW",415,"",154,170,,-14,2,"LGA","MCO",950,,,0,"",0,,,,,
2002,7,31,3,1318,1318,1543,1548,"HP",450,"N179AW",85,90,70,-5,0,"PHX","SLC",507,5,10,0,"",0,,,,,
1998,7,12,7,1811,1749,1823,1759,"US",861,"N862US",72,70,54,24,22,"CLT","BHM",351,6,12,0,"",0,,,,,
2001,4,12,4,832,815,1212,1125,"AA",151,"N5C�A1",400,370,359,47,17,"JFK","SJC",2569,5,36,0,"",0,,,,,
2005,12,1,4,2108,2115,2303,2314,"XE",3281,"N27962",115,119,91,-11,-7,"IAH","MCI",643,5,19,0,"",0,0,0,0,0,0
2007,9,17,1,1955,1955,2107,2110,"OH",5604,"N818CA",72,75,52,-3,0,"CVG","CHO",342,2,18,0,"",0,0,0,0,0,0
2001,5,7,1,1727,1730,1755,1758,"AQ",233,"-N809A",28,28,19,-3,-3,"KOA","OGG",84,5,4,0,"",0,,,,,
2007,1,24,3,1302,1308,1422,1425,"OO",3991,"N433SW",80,77,65,-3,-6,"BIL","SLC",387,7,8,0,"",0,0,0,0,0,0
2006,8,1,2,1025,1028,1253,1222,"NW",477,"N764NC",148,114,96,31,-3,"DTW","ATL",594,6,46,0,"",0,0,0,31,0,0
2001,8,13,1,851,900,1206,1209,"TW",43,"N724��",375,369,350,-3,-9,"JFK","SFO",2586,5,20,0,"",0,,,,,
2003,6,3,2,1255,1255,1426,1440,"OO",6859,"N905SW",91,105,177,-14,0,"BOI","DEN",649,8,5,0,"",0,0,0,0,0,0
2002,5,14,2,1955,1955,2209,2215,"WN",2165,"N90",74,80,64,-6,0,"ELP","SAT",496,2,8,0,"",0,,,,,
2008,5,20,2,1145,1145,1257,1300,"AA",1518,"N3BEAA",132,135,118,-3,0,"MIA","BNA",806,4,10,0,"",0,,,,,
1993,11,25,4,1542,1544,2018,2012,"AA",783,"",216,208,,6,-2,"PHL","SJU",1576,,,0,"",0,,,,,
1988,5,29,7,2112,2112,2145,2149,"DL",867,"",33,37,,-4,0,"ONT","SAN",94,,,0,"",0,,,,,
2003,11,29,6,1210,1200,1715,1705,"WN",1869,"N650",185,185,170,10,10,"LAX","MCI",1363,5,10,0,"",0,0,0,0,0,0
1996,5,1,3,1900,1900,2031,2015,"AA",1978,"N2DHAA",91,75,54,16,0,"MSP","ORD",334,19,18,0,"",0,,,,,
2003,12,11,4,,1700,,1815,"XE",2497,"0",,75,,,,"IAD","EWR",213,0,0,1,"C",0,0,0,0,0,0
2000,8,20,7,854,855,956,959,"NW",1465,"N8921E",122,124,98,-3,-1,"DTW","MCI",629,4,20,0,"",0,,,,,
1990,11,12,1,1658,1655,1929,1921,"DL",1434,"",91,86,,8,3,"STL","ATL",483,,,0,"",0,,,,,
1998,9,1,2,1510,1510,1626,1635,"WN",1350,"N695",76,85,61,-9,0,"LAS","OAK",407,3,12,0,"",0,,,,,
1998,10,2,5,1851,1549,2352,1649,"AA",815,"N2ACAA",361,120,89,423,182,"DFW","COS",592,7,265,0,"",0,,,,,
1993,5,20,4,1543,1540,1655,1659,"US",174,"",72,79,,-4,3,"CLT","CMH",346,,,0,"",0,,,,,
1988,11,26,6,1600,1600,1810,1815,"NW",824,"",70,75,,-5,0,"MEM","ATL",332,,,0,"",0,,,,,
2008,5,18,7,1336,1340,1518,1515,"DL",1636,"N657DL",102,95,74,3,-4,"TPA","ATL",406,17,11,0,"",0,,,,,
1995,9,5,2,1513,1515,1622,1623,"HP",890,"N188AW",69,68,52,-1,-2,"ONT","PHX",325,7,10,0,"",0,,,,,
2004,9,25,6,1505,1500,1543,1537,"UA",1065,"N404UA",38,37,20,6,5,"STT","SJU",68,3,15,0,"",0,0,0,0,0,0
1989,11,18,6,1629,1615,1711,1653,"US",2805,"",42,38,,18,14,"SEA","BLI",94,,,0,"",0,,,,,
2007,11,17,6,1000,1000,1221,1230,"WN",101,"N208WN",141,150,130,-9,0,"TPA","ISP",1034,4,7,0,"",0,0,0,0,0,0
1996,8,19,1,1448,1440,2059,2032,"TW",344,"N902TW",251,232,233,27,8,"SEA","STL",1710,6,12,0,"",0,,,,,
2000,9,16,6,1740,1740,1850,1845,"WN",2102,"N671",70,65,55,5,0,"FLL","JAX",318,5,10,0,"",0,,,,,
1992,3,26,4,1547,1545,1710,1714,"US",2180,"",83,89,,-4,2,"SAN","SFO",447,,,0,"",0,,,,,
1999,7,30,5,1000,1000,1057,1057,"UA",147,"N665UA",117,117,93,0,0,"BWI","ORD",622,7,17,0,"",0,,,,,
1992,10,9,5,2058,2100,947,945,"TW",2,"",469,465,,2,-2,"HNL","STL",4129,,,0,"",0,,,,,
1989,8,21,1,1558,1520,1703,1627,"US",2523,"",65,67,,36,38,"LAX","OAK",337,,,0,"",0,,,,,
2007,9,17,1,1500,1425,1631,1553,"XE",7776,"N10575",91,88,66,38,35,"LAX","SMF",373,10,15,0,"",0,0,0,3,0,35
1999,8,4,3,828,830,1001,958,"US",1670,"N946VJ",93,88,63,3,-2,"BOS","PHL",280,9,21,0,"",0,,,,,
1992,12,7,1,1513,1514,1706,1709,"UA",505,"",113,115,,-3,-1,"ORD","TUL",585,,,0,"",0,,,,,
1995,4,6,4,1533,1525,1709,1710,"US",1929,"N821US",96,105,78,-1,8,"CLT","EWR",529,7,11,0,"",0,,,,,
2005,5,5,4,912,915,1019,1035,"US",1076,"N356US",67,80,53,-16,-3,"CLT","PIT",366,4,10,0,"",0,0,0,0,0,0
2003,4,30,3,1953,1956,2328,2327,"AA",2816,"N5TEAA",155,151,112,1,-3,"STL","LGA",887,15,28,0,"",0,,,,,
2004,8,9,1,1732,1734,2012,2015,"UA",1456,"N470UA",100,101,82,-3,-2,"PHX","DEN",602,4,14,0,"",0,0,0,0,0,0
2001,10,15,1,545,545,744,750,"WN",2156,"N521@@",59,65,50,-6,0,"PHX","ELP",347,4,5,0,"",0,,,,,
1991,5,1,3,655,655,938,940,"UA",986,"",103,105,,-2,0,"DEN","MSP",680,,,0,"",0,,,,,
2004,9,8,3,1052,1100,1436,1444,"XE",2051,"N28529",164,164,139,-8,-8,"MEM","EWR",946,9,16,0,"",0,0,0,0,0,0
2005,5,16,1,1410,1410,1457,1500,"WN",291,"N338",107,110,95,-3,0,"BWI","BNA",588,4,8,0,"",0,0,0,0,0,0
2007,2,10,6,1302,1315,1507,1517,"NW",515,"N352NB",185,182,156,-10,-13,"LGA","MSP",1020,6,23,0,"",0,0,0,0,0,0
1993,4,13,2,821,820,1131,1138,"UA",768,"",130,138,,-7,1,"ORD","JAX",865,,,0,"",0,,,,,
2004,6,2,3,607,545,916,849,"DL",1079,"N395DN",129,124,112,27,22,"MCI","ATL",692,7,10,0,"",0,22,0,5,0,0
1994,6,17,5,1421,1420,1534,1519,"US",1286,"",73,59,,15,1,"AZO","PIT",301,,,0,"",0,,,,,
1993,9,14,2,1420,1350,1542,1450,"WN",759,"",82,60,,52,30,"MDW","STL",251,,,0,"",0,,,,,
2002,11,8,5,1359,1359,1823,1824,"AA",1598,"N425AA",204,205,177,-1,0,"PHX","ORD",1440,20,7,0,"",0,,,,,
2005,1,26,3,2142,2147,2242,2255,"OO",3682,"N188SW",60,68,46,-13,-5,"SLC","SUN",223,2,12,0,"",0,0,0,0,0,0
2007,1,30,2,1224,1221,1757,1805,"UA",1216,"N558UA",213,224,190,-8,3,"DEN","BOS",1754,9,14,0,"",0,0,0,0,0,0
2000,10,14,6,828,830,1611,1616,"TW",894,"N703TW",283,286,265,-5,-2,"LAX","DCA",2311,5,13,0,"",0,,,,,
1994,9,23,5,927,916,1130,1115,"DL",337,"",123,119,,15,11,"CVG","TPA",773,,,0,"",0,,,,,
1989,11,9,4,803,700,911,759,"US",554,"",68,59,,72,63,"ROC","LGA",254,,,0,"",0,,,,,
1991,6,27,4,924,900,1050,1028,"UA",1045,"",86,88,,22,24,"SFO","SNA",372,,,0,"",0,,,,,
1994,9,28,3,2320,2320,714,704,"HP",68,"",294,284,,10,0,"LAS","BOS",2381,,,0,"",0,,,,,
2002,7,2,2,1622,1625,1929,1932,"DL",815,"N915DL",187,187,154,-3,-3,"BOS","PBI",1197,6,27,0,"",0,,,,,
1998,7,6,1,2007,2007,2104,2104,"TW",570,"N969Z",57,57,34,0,0,"STL","MLI",187,12,11,0,"",0,,,,,
1999,1,15,5,2057,1950,2306,2159,"NW",1410,"N619NW",69,69,47,67,67,"MDW","DTW",229,13,9,0,"",0,,,,,
1988,10,22,6,900,900,1046,1058,"AA",863,"",106,118,,-12,0,"RDU","PBI",638,,,0,"",0,,,,,
2008,1,18,5,1848,1855,2128,2139,"XE",318,"N14198",100,104,86,-11,-7,"ABQ","AUS",619,5,9,0,"",0,,,,,
2004,1,18,7,2040,2040,2159,2200,"WN",2476,"N635",79,80,63,-1,0,"OAK","LAS",407,9,7,0,"",0,0,0,0,0,0
1988,6,22,3,1226,1148,1323,1238,"AA",323,"",57,50,,45,38,"SLC","JAC",205,,,0,"",0,,,,,
1988,12,28,3,1040,950,1207,1110,"WN",536,"",87,80,,57,50,"BNA","MDW",395,,,0,"",0,,,,,
1998,12,6,7,1543,1535,1824,1818,"DL",1638,"N934DL",101,103,71,6,8,"MCI","CVG",539,8,22,0,"",0,,,,,
1990,1,16,2,1535,1525,1730,1730,"DL",97,"",295,305,,0,10,"ATL","SFO",2139,,,0,"",0,,,,,
1990,12,9,7,755,755,928,938,"US",1019,"",93,103,,-10,0,"CLT","LGA",544,,,0,"",0,,,,,
2005,10,22,6,540,545,716,725,"FL",901,"N893AT",96,100,82,-9,-5,"PHF","ATL",508,5,9,0,"",0,0,0,0,0,0
1996,4,4,4,2018,2015,2338,2345,"DL",869,"N788DL",140,150,125,-7,3,"MCO","SJU",1189,5,10,0,"",0,,,,,
1997,3,16,7,1459,1440,1453,1440,"WN",639,"N635",54,60,45,13,19,"PHX","SAN",304,3,6,0,"",0,,,,,
1995,3,31,5,1959,2000,2042,2042,"NW",1711,"N1308T",43,42,26,0,-1,"MEM","LIT",129,4,13,0,"",0,,,,,
2002,5,8,3,1747,1758,1826,1840,"UA",325,"N917UA",99,102,82,-14,-11,"TUL","DEN",541,6,11,0,"",0,,,,,
2005,1,25,2,851,845,935,925,"OO",6465,"N908SW",44,40,24,10,6,"SFO","SMF",86,4,16,0,"",0,0,0,0,0,0
1993,1,9,6,1656,1700,1754,1804,"CO",1254,"",58,64,,-10,-4,"IND","CLE",261,,,0,"",0,,,,,
1996,10,15,2,1635,1635,1630,1630,"WN",398,"N339",55,55,42,0,0,"DTW","MDW",229,4,9,0,"",0,,,,,
2004,3,13,6,1815,1815,1923,1930,"WN",1457,"N616SW",68,75,59,-7,0,"SJC","SAN",417,3,6,0,"",0,0,0,0,0,0
1987,11,3,2,700,700,752,742,"DL",278,"",52,42,,10,0,"TYS","ATL",152,,,0,"",0,,,,,
2004,7,15,4,612,615,734,748,"AS",151,"N740AS",82,93,70,-14,-3,"ANC","OTZ",549,3,9,0,"",0,0,0,0,0,0
1992,9,22,2,1236,1239,1257,1321,"TW",240,"",21,42,,-24,-3,"ONT","SNA",30,,,0,"",0,,,,,
1991,7,13,6,840,840,929,930,"WN",316,"",49,50,,-1,0,"ELP","ABQ",223,,,0,"",0,,,,,
2006,3,23,4,2132,2135,2252,2300,"WN",252,"N687SW",80,85,67,-8,-3,"RNO","PDX",444,4,9,0,"",0,0,0,0,0,0
2002,7,25,4,1449,1414,1541,1522,"AA",2727,"N4TCAA",52,68,38,19,35,"STL","MCI",237,4,10,0,"",0,,,,,
1992,3,8,7,1312,1311,1637,1625,"CO",806,"",145,134,,12,1,"DEN","ORD",888,,,0,"",0,,,,,
1990,7,16,1,1844,1845,2054,2058,"US",1769,"",130,133,,-4,-1,"MCO","PIT",834,,,0,"",0,,,,,
2003,6,24,2,1140,1135,1357,1355,"WN",711,"N348",77,80,64,2,5,"LAS","SLC",368,2,11,0,"",0,0,0,0,0,0
2004,6,12,6,845,845,924,935,"WN",2356,"N678",99,110,86,-11,0,"ELP","LAS",584,4,9,0,"",0,0,0,0,0,0
1988,12,30,5,1025,1025,1228,1231,"DL",1620,"",63,66,,-3,0,"JAN","ATL",341,,,0,"",0,,,,,
1998,12,26,6,1659,1700,1957,2002,"UA",676,"N439UA",118,122,94,-5,-1,"ORD","LGA",733,5,19,0,"",0,,,,,
2007,8,9,4,1607,1615,1652,1652,"OO",5631,"N297SW",45,37,14,0,-8,"LAX","OXR",49,5,26,0,"",0,0,0,0,0,0
2000,5,9,2,1210,1214,1557,1533,"US",1985,"N820US",167,139,139,24,-4,"IAH","CLT",913,4,24,0,"",0,,,,,
1990,10,8,1,1422,1422,1437,1437,"HP",480,"",75,75,,0,0,"ABQ","PHX",328,,,0,"",0,,,,,
1995,3,17,5,810,808,1125,1112,"DL",995,"N950DL",135,124,119,13,2,"DFW","ATL",732,4,12,0,"",0,,,,,
2006,2,26,7,2216,2219,2251,2259,"AS",70,"N799AS",35,40,23,-8,-3,"JNU","SIT",95,4,8,0,"",0,0,0,0,0,0
1991,5,2,4,,1330,,1455,"HP",465,"",,85,,,,"SNA","SFO",372,,,1,"",0,,,,,
2005,3,10,4,605,605,753,757,"NW",653,"N3324L",108,112,83,-4,0,"EWR","DTW",487,7,18,0,"",0,0,0,0,0,0
1999,6,21,1,713,712,1102,1104,"AA",623,"N5DWAA",229,232,203,-2,1,"BDL","SJU",1666,12,14,0,"",0,,,,,
1997,12,24,3,1032,1030,1316,1317,"DL",1004,"N305WA",104,107,92,-1,2,"SAN","SLC",626,3,9,0,"",0,,,,,
2006,6,23,5,2209,2155,551,526,"FL",18,"N268AT",282,271,251,25,14,"SEA","ATL",2182,12,19,0,"",0,0,0,11,0,14
1998,3,13,5,1522,1520,1625,1608,"UA",2715,"N379UA",123,108,108,17,2,"DEN","LAS",629,5,10,0,"",0,,,,,
1995,4,28,5,2043,2045,2240,2250,"UA",1540,"N9068U",57,65,40,-10,-2,"ORD","CVG",264,5,12,0,"",0,,,,,
2000,10,29,7,1736,1739,2228,2230,"AA",1942,"N271AA",232,231,212,-2,-3,"DFW","BOS",1562,6,14,0,"",0,,,,,
2003,2,24,1,1029,1031,1331,1339,"AA",736,"N486AA",122,128,100,-8,-2,"TUS","DFW",813,15,7,0,"",0,,,,,
1997,11,3,1,1840,1845,1928,1947,"NW",297,"N801EA",108,122,86,-19,-5,"DTW","MEM",610,5,17,0,"",0,,,,,
1991,9,10,2,1505,1505,1603,1610,"WN",552,"",58,65,,-7,0,"PHX","ONT",325,,,0,"",0,,,,,
1991,5,9,4,630,630,726,730,"PA (1)",520,"",56,60,,-4,0,"LGA","BOS",185,,,0,"",0,,,,,
1993,3,19,5,1340,1330,1503,1455,"HP",818,"",83,85,,8,10,"SFO","SNA",372,,,0,"",0,,,,,
2004,2,25,3,1726,1720,1823,1817,"OO",9550,"N586SW",57,57,41,6,6,"IAH","TYR",163,4,12,0,"",0,0,0,0,0,0
2004,9,10,5,948,950,1055,1101,"CO",318,"N14628",67,71,42,-6,-2,"IAD","EWR",213,9,16,0,"",0,0,0,0,0,0
2005,5,21,6,833,835,956,1002,"NW",1093,"N310NB",143,147,117,-6,-2,"MEM","DEN",872,8,18,0,"",0,0,0,0,0,0
1992,2,8,6,1734,1735,1802,1804,"TW",255,"",28,29,,-2,-1,"FLL","MIA",21,,,0,"",0,,,,,
2001,9,17,1,1824,1825,2021,2037,"DL",880,"-N668D",57,72,32,-16,-1,"BNA","ATL",214,16,9,0,"",0,,,,,
2000,11,20,1,2035,2028,2154,2146,"CO",1539,"N14358",139,138,112,8,7,"IAH","COS",809,7,20,0,"",0,,,,,
1989,8,27,7,2025,2020,2112,2104,"NW",1592,"",47,44,,8,5,"DTW","CLE",95,,,0,"",0,,,,,
1998,6,19,5,1025,1020,1143,1140,"WN",1554,"N713",78,80,70,3,5,"SMF","SAN",480,2,6,0,"",0,,,,,
2000,11,6,1,1225,1225,1455,1455,"WN",1304,"N782",150,150,139,0,0,"TPA","ISP",1034,3,8,0,"",0,,,,,
1990,8,7,2,850,845,1459,1451,"AA",42,"",249,246,,8,5,"SFO","ORD",1846,,,0,"",0,,,,,
1999,5,16,7,1535,1535,1705,1715,"DL",152,"N143DA",90,100,73,-10,0,"ATL","PBI",545,5,12,0,"",0,,,,,
1994,11,18,5,1852,1847,2052,2035,"AA",459,"",240,228,,17,5,"DFW","OAK",1456,,,0,"",0,,,,,
1990,12,12,3,705,705,849,853,"DL",1050,"",44,48,,-4,0,"HSV","ATL",151,,,0,"",0,,,,,
1999,7,22,4,1227,1230,1251,1308,"DL",1470,"N957DL",84,98,68,-17,-3,"CVG","LIT",513,6,10,0,"",0,,,,,
2002,5,5,7,841,848,1118,1133,"AA",692,"N2AHAA",97,105,75,-15,-7,"ELP","DFW",551,12,10,0,"",0,,,,,
1994,4,21,4,2008,2010,2015,2016,"US",1419,"",67,66,,-1,-2,"PIT","FWA",262,,,0,"",0,,,,,
1990,3,21,3,1620,1620,1807,1803,"EA",854,"",107,103,,4,0,"ATL","DTW",594,,,0,"",0,,,,,
2006,4,20,4,924,920,1137,1132,"AA",1783,"N214AA",133,132,118,5,4,"STL","SAT",786,3,12,0,"",0,0,0,0,0,0
1998,11,28,6,1520,1520,1735,1735,"WN",827,"N633",75,75,62,0,0,"ELP","SAT",496,3,10,0,"",0,,,,,
2004,4,21,3,1710,1715,1849,1908,"NW",119,"N303NB",219,233,208,-19,-5,"MSP","SNA",1522,4,7,0,"",0,0,0,0,0,0
1997,1,17,5,1311,0,1538,0,"AA",1319,"N2AMAA",207,176,185,34,3,"CLT","DFW",936,11,11,0,"",0,,,,,
1992,1,7,2,1259,1300,1512,1456,"AA",305,"",193,176,,16,-1,"DTW","DFW",987,,,0,"",0,,,,,
1998,2,25,3,858,900,1010,1019,"TW",111,"N54354",72,79,47,-9,-2,"STL","MCI",237,3,22,0,"",0,,,,,
2007,11,13,2,858,900,957,1002,"XE",2605,"N16944",59,62,41,-5,-2,"IAH","DAL",217,3,15,0,"",0,0,0,0,0,0
1998,8,27,4,640,645,750,809,"NW",421,"N769NC",70,84,56,-19,-5,"SYR","DTW",374,7,7,0,"",0,,,,,
1997,7,17,4,1210,1215,1414,1423,"NW",387,"N522US",124,128,92,-9,-5,"BOS","DTW",632,11,21,0,"",0,,,,,
2006,9,27,3,1642,1652,1842,1853,"XE",2774,"N13995",120,121,88,-11,-10,"DAY","EWR",533,22,10,0,"",0,0,0,0,0,0
1989,9,19,2,1700,1700,1657,1650,"WN",657,"",57,50,,7,0,"DET","IND",252,,,0,"",0,,,,,
1988,9,17,6,648,635,746,739,"DL",467,"",58,64,,7,13,"PWM","LGA",270,,,0,"",0,,,,,
1997,5,16,5,1610,1530,1812,1738,"DL",556,"N505DA",122,128,98,34,40,"ATL","LGA",761,11,13,0,"",0,,,,,
2001,4,28,6,815,815,922,936,"DL",1299,"-N120D",127,141,101,-14,0,"ATL","DFW",732,6,20,0,"",0,,,,,
1999,3,5,5,,1700,,1822,"NW",140,"N9348",,82,,,,"MSP","ORD",334,0,0,1,"",0,,,,,
2002,7,18,4,1100,1100,1151,1146,"NW",831,"N1798U",51,46,37,5,0,"LIT","MEM",129,5,9,0,"",0,,,,,
2003,12,24,3,1053,1057,1247,1251,"AA",2865,"N4UCTW",174,174,151,-4,-4,"MCO","DFW",984,10,13,0,"",0,0,0,0,0,0
2004,5,17,1,858,900,1143,1129,"UA",57,"N596UA",345,329,321,14,-2,"LAX","KOA",2504,2,22,0,"",0,0,0,0,0,0
2008,9,25,4,1257,1307,1439,1456,"OO",5899,"N698BR",42,49,24,-17,-10,"ORD","AZO",122,5,13,0,"",0,,,,,
1997,12,22,1,1550,1520,1745,1715,"WN",527,"N528",55,55,40,30,30,"MDW","DTW",229,7,8,0,"",0,,,,,
2007,6,12,2,1504,1500,2044,2055,"WN",2690,"N781WN",220,235,211,-11,4,"SAN","MDW",1728,3,6,0,"",0,0,0,0,0,0
1995,3,30,4,1832,1835,1900,1902,"UA",1455,"N933UA",88,87,73,-2,-3,"OMA","DEN",472,6,9,0,"",0,,,,,
1992,6,25,4,822,819,1031,1005,"AA",497,"",189,166,,26,3,"FLL","DFW",1119,,,0,"",0,,,,,
